TTANALYZER,HOURLY REPORT,2011-12-27 14:00:10 UTC
 
ZSCORES
 
2011-12-27 14:01:13   1
2011-12-27 14:06:07   2
2011-12-27 14:11:08   3
2011-12-27 14:16:07   4
2011-12-27 14:21:08   5
2011-12-27 14:26:09   6
2011-12-27 14:31:08   7
2011-12-27 14:36:08   8
2011-12-27 14:41:09   9
2011-12-27 14:46:08   10
2011-12-27 14:51:07   11
2011-12-27 14:56:09   12
 
RANKS
 
2011-12-27 14:01:13   1
2011-12-27 14:06:07   2
2011-12-27 14:11:08   3
2011-12-27 14:16:07   4
2011-12-27 14:21:08   5
2011-12-27 14:26:09   6
2011-12-27 14:31:08   7
2011-12-27 14:36:08   8
2011-12-27 14:41:09   9
2011-12-27 14:46:08   10
2011-12-27 14:51:07   11
2011-12-27 14:56:09   12
 
FREQUENCY
 
2011-12-27 14:01:13   1
2011-12-27 14:06:07   2
2011-12-27 14:11:08   3
2011-12-27 14:16:07   4
2011-12-27 14:21:08   5
2011-12-27 14:26:09   6
2011-12-27 14:31:08   7
2011-12-27 14:36:08   8
2011-12-27 14:41:09   9
2011-12-27 14:46:08   10
2011-12-27 14:51:07   11
2011-12-27 14:56:09   12
 
RANKS BY TERM
 ,1,2,3,4,5,6,7,8,9,10
2011-12-27 14:01:13   1
2011-12-27 14:06:07   2
2011-12-27 14:11:08   3
2011-12-27 14:16:07   4
2011-12-27 14:21:08   5
2011-12-27 14:26:09   6
2011-12-27 14:31:08   7
2011-12-27 14:36:08   8
2011-12-27 14:41:09   9
2011-12-27 14:46:08   10
2011-12-27 14:51:07   11
2011-12-27 14:56:09   12
 
 
 
RANKS BY TERM (TWITTER TRENDS)
 ,1,2,3,4,5,6,7,8,9,10
2011-12-27 14:01:13   1,#ASKJOSH,MARU BOTANA,#16ANOS,#DOGSONGS,AYTAç DURAK,SHASHI THAROOR,MY AMNESIA GIRL,SELF-DETERMINATION,FELIZ MARTES,Суркова
2011-12-27 14:06:07   2,#ASKJOSH,MARU BOTANA,#16ANOS,#DOGSONGS,AYTAç DURAK,SHASHI THAROOR,MY AMNESIA GIRL,SELF-DETERMINATION,FELIZ MARTES,Суркова
2011-12-27 14:11:08   3,MARU BOTANA,#ASKJOSH,CASE-SHILLER,#DOGSONGS,#16ANOS,SELF-DETERMINATION,YANG SEUNGHO,WELSH NATIONAL,SHASHI THAROOR,MY AMNESIA GIRL
2011-12-27 14:16:07   4,MARU BOTANA,#ASKJOSH,CASE-SHILLER,#DOGSONGS,#16ANOS,SELF-DETERMINATION,YANG SEUNGHO,WELSH NATIONAL,SHASHI THAROOR,MY AMNESIA GIRL
2011-12-27 14:21:08   5,MARU BOTANA,#DOGSONGS,#16ANOS,#ASKJOSH,YANG SEUNGHO,SHASHI THAROOR,HAPPYBDAYHAYLEYWILLIAMS,MY AMNESIA GIRL,WALCOTT,Суркова
2011-12-27 14:26:09   6,#ASKJOSH,MARU BOTANA,#ASKHARRY,#DOGSONGS,YANG SEUNGHO,EXO TEASER 3,HAPPYBDAYHAYLEYWILLIAMS,FELIZ MARTES,MY AMNESIA GIRL,IOS 5.0.1
2011-12-27 14:31:08   7,LE BEAU BAI,#ASKJOSH,MARU BOTANA,#ASKHARRY,#DOGSONGS,HAPPYBDAYHAYLEYWILLIAMS,EXO TEASER 3,YANG SEUNGHO,MY AMNESIA GIRL,FELIZ MARTES
2011-12-27 14:36:08   8,#ASKHARRY,MARU BOTANA,#ASKJOSH,LE BEAU BAI,#DOGSONGS,HAPPYBDAYHAYLEYWILLIAMS,EXO TEASER 3,YANG SEUNGHO,FELIZ MARTES,IOS 5.0.1
2011-12-27 14:41:09   9,#ASKHARRY,MARU BOTANA,#ASKJOSH,LE BEAU BAI,#DOGSONGS,HAPPYBDAYHAYLEYWILLIAMS,EXO TEASER 3,YANG SEUNGHO,FELIZ MARTES,IOS 5.0.1
2011-12-27 14:46:08   10,#ASKHARRY,MARU BOTANA,#ASKJOSH,#THEBEST4,HAPPYBDAYHAYLEYWILLIAMS,CAROLINA ZúñIGA,EXO TEASER 3,YANG SEUNGHO,MY AMNESIA GIRL,FELIZ MARTES
2011-12-27 14:51:07   11,MARU BOTANA,#THEBEST4,#ASKHARRY,#ASKJOSH,CAROLINA ZúñIGA,HAPPYBDAYHAYLEYWILLIAMS,FELIZ MARTES,EXO TEASER 3,YANG SEUNGHO,IOS 5.0.1
2011-12-27 14:56:09   12,MARU BOTANA,#THEBEST4,#ASKHARRY,#ASKJOSH,CAROLINA ZúñIGA,HAPPYBDAYHAYLEYWILLIAMS,FELIZ MARTES,EXO TEASER 3,YANG SEUNGHO,IOS 5.0.1
 
SCORES (TWITTER TRENDS)
 ,TERM,SCORE,MINUTES
133,SPRINTER SACRE,15,10
134,#PROUDINBETWEENERBECAUSE,15,10
135,CELEBRITY MASTERMIND,14,10
136,MISS HAVERSHAM,14,10
137,LA LA JONAS,14,10
138,DOUGLAS BOOTH,9,15
139,DANNY ROSE,13,10
140,#XMASLECTURES,13,10
141,GARETH BALE,13,10
142,Суркова,6,20
143,LAURA PAUSINI,12,10
144,GREAT EXPECTATIONS,8,15
145,DAVID MITCHELL,8,15
146,BUSTAMANTE,12,10
147,#MASTERMIND,11,10
148,ARSHAVIN,11,10
149,GRISELDA,7,15
150,RICHARLYSON,7,15
151,DAVID WALLIAMS AND MIRANDA HART,10,10
152,ALEX SONG,10,10
153,RAY WINSTONE,9,10
154,ÖYLE BIR GEçER ZAMAN KI,8,10
155,JAMIE OLIVER,8,10
156,EDDIE IZZARD,8,10
157,ARSENAL 1-0 WOLVES,5,15
158,GILLIAN ANDERSON,5,15
159,BENAYOUN,7,10
160,THE NOOSE,7,10
161,GIVING WINDOWS PHONE A CHANCE,6,10
162,WELSH NATIONAL,6,10
163,STUART ATTWELL,6,10
164,TAMWAR,6,10
165,EMIRATES,6,10
166,GRIZELDA,6,10
167,NOEL BABA,6,10
168,NYE,5,10
169,THE APARTMENT,5,10
170,AYLIN,5,10
171,GOLDEN SILVER,10,5
172,LOK SABHA,3,15
173,CARLOS BAUTE,9,5
174,#INOCENTADATWITTERA,9,5
175,#MALDITANEREA,9,5
176,HT ARSENAL 1-1 WOLVES,9,5
177,DJOUROU,8,5
178,JESSICA RABBIT,8,5
179,LUKE MOORE,8,5
180,RASTAMOUSE,8,5
181,HENNESEY,8,5
182,BALE,8,5
183,MANOLO GARCíA,4,10
184,BRASILIENSE,4,10
185,EMMERDALE,4,10
186,STUART ATWELL,8,5
187,JORDAN WHITE,8,5
188,PRO BOWL,4,10
189,JOHN SNOW,8,5
190,LEE PROBERT,8,5
191,CHEPSTOW,7,5
192,RED CARD,7,5
193,CO STOMPE,7,5
194,CARMINHO,7,5
195,NORWICH 0-2 TOTTENHAM,7,5
196,DAVID SUCHET,7,5
197,#ATHLETERESOLUTION,7,5
198,FANGORIA,7,5
199,RUEL FOX,7,5
200,EFAN EKOKU,7,5
201,KEVIN DOYLE,7,5
202,#SYNOVATE,7,5
203,SWANSEA VS QPR,7,5
204,#CHINAZOSENLACOCINA,6,5
205,NORWICH 0-0 TOTTENHAM,6,5
206,#NOMECURES,6,5
207,MY BIG FAT GYPSY CHRISTMAS,3,10
208,#SOBRENOMBRECOSTEñO,6,5
209,MASPOXAVIDA,6,5
210,SERGIO DALMA,3,10
211,LANGE FRANS,6,5
212,JUAN MAGAN,6,5
213,SIBERIA,3,10
214,CHISNALL,6,5
215,#VIERNESPOP,6,5
216,EL 4,6,5
217,#NEGOCIOSDESTINADOSALAQUIEBRA,6,5
218,ATRAPA,6,5
219,VANILLA COKLAT,5,5
220,ADEBAYOR,5,5
221,VERMAELEN,5,5
222,AVERY JOHNSON,5,5
223,BRIAN COX,5,5
224,DENER FERRARI,5,5
225,SEN. BEN NELSON,5,5
226,PAT AND PATRICK,5,5
227,TOM DALEY,5,5
228,MAGWITCH,5,5
229,DJ DAMAGE,5,5
230,KARL HENRY,5,5
231,#HAYATTANSOGUTANSEYLER,5,5
232,RUDDY,5,5
233,BEN MITCHELL,4,5
234,KRIS HUMPHRIES,2,10
235,ALL OF THE LIGHTS,2,10
236,MELANIE FIONA,2,10
237,RVP,2,10
238,LOST IN TRANSLATION,4,5
239,GUNNERS,2,10
240,LAURA BOZZO,2,10
241,NURCAN TAYLAN,4,5
242,MIRANDA HART,2,10
243,#ARSWOL,4,5
244,NOEL AND RUSSELL,3,5
245,DAVID AND MIRANDA,3,5
246,GALLAS,3,5
247,YOUTUBE SLAM,3,5
248,HELEN FRANKENTHALER,3,5
249,AMADO BATISTA,3,5
250,SAM RIVERS,3,5
251,DID THE LAKERS,3,5
252,ANTONY COSTA,2,5
253,VORM,2,5
254,#MOMENTOSINOLVIDABLES,2,5
255,FRENCH MONTANA,2,5
256,DANNY GRAHAM,2,5
257,MEIRA KUMAR,2,5
258,AMARAL,2,5
259,JOEY BARTON,2,5
260,SHEA WEBER,2,5
261,PANTENE,2,5
262,ROYAL WEDDING,2,5
263,IBSON,2,5
264,LOVE JONES,2,5
265,SANTA EDUVIGIS,2,5
266,WALCOTT,2,5
267,ARTETA,2,5
268,MARLEY AND ME,2,5
269,THE GREEN MILE,2,5
270,NEIL WARNOCK,2,5
271,MULAN,1,5
272,BEENIE MAN,1,5
273,NO CHURCH IN THE WILD,1,5
274,TERESA CRISTINA,1,5
275,VAN DER VAART,1,5
276,MACKIE,1,5
277,MEGA DA VIRADA,1,5
278,ARSENAL,1,5
279,AS BRANQUELAS,1,5
280,MALL OF AMERICA,1,5
281,ROSICKY,1,5
282,LAS MAYAS,1,5
283,SHIRLEY,1,5
284,AFIA,1,5
285,JAMIE MACKIE,1,5
286,PABLO ALBORáN,1,5
287,DYBALA,1,5
 
 
 
STREAM TOTALS PER MINUTE
 ,Tweet Totals,Term Totals,New Term Totals
2011-12-27 14:01:13   1,1692,9745,24
2011-12-27 14:02:08   2,1922,11650,3
2011-12-27 14:03:06   3,1837,10918,4
2011-12-27 14:04:07   4,1797,10439,6
2011-12-27 14:05:08   5,1814,10703,6
2011-12-27 14:06:08   6,1750,10134,3
2011-12-27 14:07:06   7,1805,10273,7
2011-12-27 14:08:06   8,1854,10742,9
2011-12-27 14:09:06   9,1761,10804,4
2011-12-27 14:10:08   10,1773,10251,4
2011-12-27 14:11:08   11,1861,11344,2
2011-12-27 14:12:07   12,1900,11235,4
2011-12-27 14:13:07   13,1882,10786,8
2011-12-27 14:14:07   14,1847,10936,6
2011-12-27 14:15:08   15,1924,11099,3
2011-12-27 14:16:08   16,1895,10854,9
2011-12-27 14:17:06   17,1887,10823,4
2011-12-27 14:18:06   18,1922,11043,4
2011-12-27 14:19:06   19,1885,10992,4
2011-12-27 14:20:08   20,1911,11296,6
2011-12-27 14:21:08   21,1840,10907,4
2011-12-27 14:22:05   22,1812,10662,3
2011-12-27 14:23:06   23,1867,11039,4
2011-12-27 14:24:05   24,1937,10978,21
2011-12-27 14:25:09   25,1857,11089,3
2011-12-27 14:26:08   26,1863,10924,1
2011-12-27 14:27:05   27,1882,11105,2
2011-12-27 14:28:05   28,1911,11306,5
2011-12-27 14:29:05   29,1861,10594,2
2011-12-27 14:30:08   30,1923,11586,6
2011-12-27 14:31:09   31,1858,11001,2
2011-12-27 14:32:07   32,1903,10995,7
2011-12-27 14:33:06   33,1835,10764,2
2011-12-27 14:34:06   34,2015,12732,1
2011-12-27 14:35:09   35,1973,11652,1
2011-12-27 14:36:09   36,1952,11871,4
2011-12-27 14:37:06   37,1761,10467,2
2011-12-27 14:38:07   38,1911,11851,12
2011-12-27 14:39:06   39,1696,10153,2
2011-12-27 14:40:08   40,2290,13493,9
2011-12-27 14:41:08   41,2031,12082,4
2011-12-27 14:42:06   42,1978,11825,4
2011-12-27 14:43:07   43,1769,10697,1
2011-12-27 14:44:06   44,2072,12195,9
2011-12-27 14:45:09   45,1801,10831,0
2011-12-27 14:46:08   46,2098,12684,7
2011-12-27 14:47:06   47,1915,10942,1
2011-12-27 14:48:07   48,1964,11865,1
2011-12-27 14:49:06   49,1970,12233,11
2011-12-27 14:50:09   50,1937,11108,5
2011-12-27 14:51:07   51,1877,10988,5
2011-12-27 14:52:06   52,2059,12595,2
2011-12-27 14:53:06   53,1760,10241,2
2011-12-27 14:54:06   54,2058,12144,13
2011-12-27 14:55:09   55,1952,11422,1
2011-12-27 14:56:09   56,2022,11761,5
2011-12-27 14:57:05   57,1863,11334,5
2011-12-27 14:58:06   58,2007,12069,5
2011-12-27 14:59:06   59,2006,11713,7
2011-12-27 15:00:11   60,2126,12951,11
