TTANALYZER,HOURLY REPORT,2011-12-27 13:16:10 UTC
 
ZSCORES
 ,2012 ,DAY ,LMAO ,LIVE ,VOC ,OUT ,AND ,THANK ,OMG ,WITH ,YOU ,LT3 ,NEED ,GOOD ,TWITTER ,QUERO ,LAGI ,SEGUE ,MSN ,RTRT ,PHOTO ,FOLLOW BACK ,DONG ,WWW ,LIKE ,GTLT ,5555 ,HOJE ,AKU ,NIGHT ,HAHA ,GOING ,MORNING ,TODAY ,PHOTOSET ,MET ,NEW ,CANT ,KNOW ,REALLY ,WANNA ,QUEM ,BEM ,GOOD MORNING ,MEU ,WHERE ,YES ,FOLLOW ,ARE ,GOODMORNING ,JUST ,VOU ,MAIS ,COM ,PRA ,APA ,GET ,YOUR ,FUCK ,ITS ,THE ,ALL ,THINK ,HOW 
2011-12-27 13:16:13   1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
2011-12-27 13:21:08   2,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.0266666,-0.01,0.02,0.0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.0,-0.01,-0.01,-0.01,-0.01,-0.01,0.01088664,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.0,0.0020203,0.0,0.0,0.0
2011-12-27 13:26:07   3,-0.01,-0.01,-0.01,0.0423392,-0.01,0.0282842,0.0338312,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.01491204,-0.01,-0.01,-0.01,-0.01,-0.01,0.0172018,-0.01,-0.01,0.01032796,0.01224744,0.01362012,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.00985528,-0.01,0.00942808,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
2011-12-27 13:31:09   4,-0.01,0.0565684,-0.01,-0.01,-0.01,-0.01,-0.01,0.0313786,-0.01,0.0196774,0.0281232,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.008661,-0.01,0.00616956,-0.01,-0.01,0.0072102,-0.01,0.01195228,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.00524056,-0.01,-0.01,-0.01,0.00452548,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
2011-12-27 13:36:07   5,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.00782356,-0.01,-0.01,-0.01,0.01868044,0.01767768,-0.01,0.01729496,-0.01,-0.01,-0.01,-0.01,0.00414544,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.00678792,-0.01,-0.01,0.00457868,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.00653536,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.00426236,0.00396862,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
2011-12-27 13:41:09   6,0.0979796,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.0303176,0.00557084,-0.01,-0.01,-0.01,-0.01,0.0040596,-0.01,-0.01,-0.01,0.01207672,-0.01,-0.01,0.008204,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.00856076,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.00653196,-0.01,-0.01,-0.01,0.00484124,-0.01,0.00456768,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
2011-12-27 13:46:08   7,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.00312348,-0.01,-0.01,0.00563376,-0.01,-0.01,-0.01,-0.01,-0.01,0.0055432,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.00993808,-0.01,0.00275868,-0.01,-0.01,0.00425724,-0.01,0.00785544,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.00560288,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.00362888,-0.01,-0.01,0.00273564,-0.01,-0.01,-0.01,-0.01
2011-12-27 13:51:09   8,-0.01,-0.01,0.0424264,-0.01,0.0381032,0.00910772,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.00747512,-0.01,-0.01,0.0188562,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.00745388,0.00725904,0.00707108,0.00683716,-0.01,-0.01,0.0060246,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
2011-12-27 13:56:11   9,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.01665988,-0.01,-0.01,-0.01,0.00583448,0.01257216,-0.01,0.01103316,-0.01,-0.01,-0.01,-0.01,-0.01,0.0093036,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.00458292,-0.01,-0.01,0.00428332,-0.01,-0.01,0.00364216,-0.01,0.00315482,0.00304334,-0.01,-0.01,-0.01,-0.01,-0.01
 
RANKS
 ,2012 ,DAY ,LMAO ,LIVE ,VOC ,OUT ,AND ,THANK ,OMG ,WITH ,YOU ,LT3 ,NEED ,GOOD ,TWITTER ,QUERO ,LAGI ,SEGUE ,MSN ,RTRT ,PHOTO ,FOLLOW BACK ,DONG ,WWW ,LIKE ,GTLT ,5555 ,HOJE ,AKU ,NIGHT ,HAHA ,GOING ,MORNING ,TODAY ,PHOTOSET ,MET ,NEW ,CANT ,KNOW ,REALLY ,WANNA ,QUEM ,BEM ,GOOD MORNING ,MEU ,WHERE ,YES ,FOLLOW ,ARE ,GOODMORNING ,JUST ,VOU ,MAIS ,COM ,PRA ,APA ,GET ,YOUR ,FUCK ,ITS ,THE ,ALL ,THINK ,HOW 
2011-12-27 13:16:13   1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2011-12-27 13:21:08   2, , , , , , , , , , , ,10, ,9,2, , , , , , , , , ,3, , , , , ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,7,5,4,11
2011-12-27 13:26:07   3, , , ,10, ,8,9, , , , , , , ,6, , , , , ,7, , ,3,4,5, , , , , , ,2, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2011-12-27 13:31:09   4, ,10, , , , , ,9, ,7,8, , , , , , , , , , ,5, ,3, , ,4, ,6, , , , , , , , , , , , , , , , , , ,2, , , ,1, , , , , , , , , , , , 
