TTANALYZER,HOURLY REPORT,2011-12-27 12:09:43 UTC
 
ZSCORES
 ,LIVE ,NAAR ,MET ,LT3 ,DID ,HAVE ,APA ,WANT ,GET ,NOW ,SYRIA ,YOU ,DAY ,WWW ,TWITTER ,WAS ,FOR ,MORNING ,TOO ,AKU ,HEY ,WORK ,QUE ,AND ,FOLLOW BACK ,FOLLOW ,BACK ,WITH ,BEN ,GTLT ,JUST ,THAT ,LOVE ,SEE ,WELL ,TUDO ,HTTP ,WAKKER ,HARD ,YAH ,PRA ,1215THEXIAHTIC ,RIGHT ,SUR ,MAAR ,MEETING ,HEHE ,HORIZON KINGDOM ,GOOD ,KINGDOM ,SOUND HORIZON KINGDOM ,SAYANG ,AGQR ,VOC 2012 ,HOW ,CITEIDESEJOS VOC 2012 PERFEITO ,DAMN ,FUNRONGA ,CITEIDESEJOS ,CITEIDESEJOS VOC 
2011-12-27 12:09:47   1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
2011-12-27 12:11:08   2,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.0,0.0,-0.01,0.0,-0.01,-0.01,-0.01,-0.01,0.0,-0.01,-0.01,0.0,-0.01,0.0,0.0,-0.01,0.0,-0.01,0.0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
2011-12-27 12:16:10   3,-0.01,-0.01,-0.01,0.000123314,-0.01,-0.01,-0.01,-0.01,-0.01,0.0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,2.11868e-06,-0.01,-0.01,0.0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,3.90028e-06,-0.01,0.0,-0.01,0.0,-0.01,-0.01,0.0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.0,-0.01,-0.01,0.0,-0.01,-0.01
2011-12-27 12:21:09   4,0.292428,-0.01,-0.01,2.15726e-06,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,1.197692e-06,3.9546e-06,-0.01,3.76442e-06,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.0,-0.01,0.0,-0.01,0.0,0.0,-0.01,0.0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
2011-12-27 12:26:09   5,0.0001175768,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,2.50884e-05,-0.01,-0.01,-0.01,-0.01,2.74252e-05,-0.01,7.39932e-06,-0.01,-0.01,6.07608e-06,-0.01,-0.01,-0.01,-0.01,8.91508e-06,5.92024e-06,-0.01,5.61184e-06,-0.01,7.42088e-06,-0.01,5.81816e-06,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
2011-12-27 12:31:07   6,-0.01,0.0001876524,-0.01,-0.01,-0.01,-0.01,-0.01,2.50884e-05,-0.01,3.92294e-05,-0.01,3.67556e-05,5.08816e-06,9.44632e-06,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,6.02444e-06,5.76336e-06,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,5.63804e-06,4.93076e-06,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
2011-12-27 12:36:10   7,-0.01,0.0001876524,0.0001755536,-0.01,-0.01,-0.01,-0.01,7.28452e-06,-0.01,9.63188e-06,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,1.013688e-05,-0.01,1.40648e-05,6.02444e-06,6.06588e-06,-0.01,-0.01,-0.01,-0.01,7.9054e-06,-0.01,7.23284e-06,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
2011-12-27 12:41:10   8,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.0,-0.01,0.0,-0.01,-0.01,0.0,-0.01,0.0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.0,-0.01,0.0,-0.01,0.0,0.0,-0.01,0.0,0.0
2011-12-27 12:46:09   9,-0.01,0.0001876524,0.0001755536,-0.01,3.63514e-05,3.57102e-05,2.24012e-05,-0.01,1.834872e-05,-0.01,1.276596e-05,-0.01,-0.01,9.44632e-06,-0.01,8.50924e-06,-0.01,-0.01,7.84372e-06,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
2011-12-27 12:51:11   10,-0.01,0.0001876524,0.0001755536,-0.01,3.63514e-05,3.57102e-05,2.24012e-05,-0.01,1.834872e-05,-0.01,1.276596e-05,-0.01,-0.01,9.44632e-06,-0.01,8.50924e-06,-0.01,-0.01,7.84372e-06,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
2011-12-27 12:56:09   11,-0.01,0.0001876524,0.0001755536,1.245576e-05,3.63514e-05,-0.01,2.24012e-05,-0.01,1.834872e-05,-0.01,1.276596e-05,-0.01,-0.01,-0.01,1.052928e-05,-0.01,1.45382e-05,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,9.69204e-06,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
 
RANKS
