BEST FRIENDS ,LAPTOP ,TUH ,DARI ,GET MORE ,HEHE ,MEN ,JADI ,PAKE ,MAKES ,GET MORE FOLLOWERS BEST FRIENDS ,WILL FOLLOW YOU BACK YOU FOLLOW ,MORE FOLLOWERS BEST FRIENDS WILL FOLLOW YOU ,FRIENDS WILL ,MORE FOLLOWERS BEST FRIENDS WILL FOLLOW YOU BACK YOU FOLLOW ,MORE FOLLOWERS BEST ,FOLLOW YOU BACK ,BEST FRIENDS WILL FOLLOW ,BEST FRIENDS WILL FOLLOW YOU BACK YOU ,FOLLOWERS BEST FRIENDS WILL FOLLOW YOU BACK YOU FOLLOW 
0,0,1.7875,0.95264,0,0,0,0,2.16874,1.59589,0,0,0,0,0,0,0,0,0,0
0,0,0,1.40088,0,2.68227,0.562921,0,0,0.61413,0,0,0,0,0,0,0,0,0,0
0,0,1.14878,0,0,0,0,0,0,0.608975,0,0,0,0,0,0,0,0,0,0
0,0,1.13287,0.931133,0,0,0,0.917336,2.12665,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1.37853,0,2.09614,0,0,0,0.614988,0,0,0,0,0,0,0,0,0,0
0,2.49953,0,3.17671,0,0,0,0.473996,2.07425,1.0901,0,0,0,0,0,0,0,0,0,0
0,0,0,0.387955,0,0,0,0.917603,0,0.596723,0,0,0,0,0,0,0,0,0,0
0,0,1.15225,1.25626,0,1.09565,0,0.906956,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1.23805,0,0,0,0.896672,0,1.0849,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2.05679,0,0,0,1.07173,0,0,0,0,0,0,0,0,0,0
