CINTA ,LES ,BOM ,AKAN ,SIAPA ,PAS ,ORANG ,IYA ,BARU ,KAK ,GUE ,TADI ,PENGEN ,BUAT ,KALO ,SAKIT ,UNTUK ,PERNAH ,UDAH ,UDH 
0,0,0,1.26546,0,0,0,0.403456,0.50373,2.24438,0.409151,0,1.15069,1.62592,0.918799,0,0,0,0.979548,0
0,1.58866,0,0,0.854818,0,0.657434,0.80048,0,0,0.0838723,0,0,0.224689,0.113316,0,0,0,-0.175781,0
0,0,0,0,0,0,0.249699,2.39285,0.508354,0.763218,0.732952,0,0,1.60797,3.72241,0,0,0,0.977245,2.36956
2.01263,1.01708,0,1.2679,0,0,0.24873,0.37258,0,0,-0.246905,1.42228,1.15548,1.12814,1.23221,0,0,0,0,0
2.59413,0,0,0,1.94104,2.03193,0,0.764915,0,0,-0.572317,0,1.73594,2.03534,0.455414,7.09177,1.22146,0,1.36038,0
1.30855,0,0,0,0,1.99519,0.661969,0.36609,0.982066,0,1.39336,0,0,0.185238,0,0,1.21058,0,0.964562,0
0,0,0,0,1.9167,2.48818,0,3.13448,1.89994,0,2.03101,0,0,0.184542,2.37369,2.50649,1.19999,0,2.86834,0
0,0,0,0,0.826309,0,0.257563,0.332217,0.952618,0.784325,-0.263079,0,1.138,1.09656,0.814201,0,1.18966,0,0,0
1.31014,0,2.33169,0,0,0.877856,0,0.716081,1.86283,0,2.97412,0,0,0.1759,1.56272,0,0,0,-0.193736,0
0,2.17365,0,2.50524,0.827996,0.872433,0,1.48395,1.83379,2.24602,-0.590644,0,1.13552,0,0.794428,0,0,0,0.926032,0
0,0,0,1.84649,0.823159,0,0.270219,0.314869,0.904616,0,1.62324,1.45203,0,0.183416,0.789904,2.47336,1.1932,0,-0.199566,1.80803
1.31168,0,0,1.22741,0.818405,0.873468,2.32378,0,1.80091,2.20881,0.346624,0,1.13312,0.182752,0.40969,0,0,0,0.550063,0
1.90727,0,0,1.80629,0,0,0,-0.0632535,0,0,-0.284867,1.44356,0,1.10216,0.408039,0,1.18997,1.72476,-0.203104,0
0,0,0,0,0,1.39705,0,1.09527,0.438585,0.747303,1.6126,1.42814,4.08634,0.17437,0.0284744,0,0,0,1.68055,0
0,0,0,0,1.89489,1.90414,0.667914,1.08717,0,0.743373,1.27881,0,0,0,0,0,0,0,-0.212447,0
1.28772,0,0,0,0,0,0.664675,-0.0776431,0,0,0.32637,0,0,0,0,3.15421,0,0,0.163816,0
0,1.05512,2.35372,0,1.87383,0,0,0.309529,0,0,-0.933538,2.08094,0,0.189537,0,0,0,0,1.29348,0
